Date,APPL,GOOG,IBM,MSFT,NVDA,BCS,LYG,HSBC,BAC,ORCL,VOD,CS,BP
26/06/2006,8.427143,200.80397,77.150002,22.82,13.413333,40.67281,38.400002,86.32,47.459999,14.67,24.616282,52.519531,67.470001
27/06/2006,8.204286,199.860107,76.629997,22.860001,12.986667,39.898617,37.880001,85.489998,47.299999,14.5,23.952236,51.132813,66.959999
28/06/2006,8.002857,201.742859,76.559998,23.16,13.706667,40.368664,38,85.68,47.650002,14.58,24.033785,51.582031,67.970001
29/06/2006,8.424286,207.555054,77.589996,23.469999,14.326667,41.953918,39.41,87.550003,48.599998,14.74,24.744431,53.798828,69.25
30/06/2006,8.181429,208.31015,76.82,23.299999,14.193334,42.19355,39.470001,88.349998,48.099998,14.49,24.814329,54.677734,69.610001
03/07/2006,8.278571,210.232635,78.019997,23.700001,14.4,42.599079,39.849998,88,48.810001,14.81,25.245377,55.273438,70.360001
05/07/2006,8.142858,209.368256,77.769997,23.35,13.753333,42.423962,39.970001,87.300003,48.869999,14.57,25.291977,54.365234,70.019997
06/07/2006,7.967143,210.227676,78.089996,23.48,13.326667,42.682026,40.049999,88.589996,49.060001,14.5,25.641474,54.365234,70.209999
07/07/2006,7.914286,208.866531,76.419998,23.299999,12.913333,42.903225,40.310001,88.650002,48.799999,14.78,25.455074,53.945313,71.150002
10/07/2006,7.857143,207.748795,76.669998,23.5,12.353333,42.350231,40.029999,89.099998,49.139999,14.59,25.559925,54.052734,70.900002
11/07/2006,7.95,210.908249,76.470001,23.1,12.766666,42.027649,40.360001,89.449997,49.150002,14.54,25.373526,54.21875,71.370003
12/07/2006,7.565714,207.276871,75.480003,22.639999,12.153334,40.967743,39.200001,88.279999,48.57,14.22,24.837629,52.714844,70.349998
13/07/2006,7.464286,203.09407,74.239998,22.26,11.84,40.285713,38.650002,87.089996,47.98,14.1,24.208534,51.474609,70.980003
14/07/2006,7.238572,200.446289,73.57,22.290001,11.78,40.19355,38.400002,86.970001,48.310001,14.29,24.045435,50.556641,71.370003
17/07/2006,7.481429,202.627106,73.699997,22.48,11.873333,39.843319,38,86.559998,48.220001,14.42,23.730886,50,69.580002
18/07/2006,7.557143,200.222748,74.260002,22.74,12.52,40.138248,38.07,87,48.439999,14.72,23.614388,49.160156,69.5
